utterance,spa_all,spa_1,spa_2,spa_2a,time_stamp,speaker,sentence,lemmas,pos,action,file_id,errors,child
31,,,,,00:00:00,MOT,hm .,hm .,co,,formatted/Bernstein/Gail/011100.json,u31,gail
32,,,,,00:00:00,MOT,can you count them for mommy ?,can you count them for mommy ?,mod pro_per v pro_obj prep n,,formatted/Bernstein/Gail/011100.json,u31,gail
33,,,,,00:00:00,MOT,seven duckies ?,seven duck ?,det_num n,,formatted/Bernstein/Gail/011100.json,u31,gail
34,,,,,00:00:00,MOT,I see seven duckies .,I see seven duck .,pro_sub v det_num n,,formatted/Bernstein/Gail/011100.json,u31,gail
35,,,,,00:00:00,MOT,do you wanna find the chairs ?,do you want to find the chair ?,mod pro_per v inf v det_art n,,formatted/Bernstein/Gail/011100.json,u31,gail
36,,,,,00:00:00,MOT,alright let's start from the beginning .,alright let us start from the beginning .,co v pro_obj v prep det_art n,,formatted/Bernstein/Gail/011100.json,u31,gail
37,,,,,00:00:00,MOT,open the book turn the pages .,open the book turn the page .,v det_art n n det_art n,,formatted/Bernstein/Gail/011100.json,u31,gail
38,,,,,00:00:00,MOT,tell me when you see the chairs .,tell me when you see the chair .,v pro_obj conj pro_per v det_art n,,formatted/Bernstein/Gail/011100.json,u31,gail
39,,,,,00:00:00,MOT,aren't they pretty chairs !,be not they pretty chair !,aux neg pro_sub adv n,,formatted/Bernstein/Gail/011100.json,u31,gail
40,,,,,00:00:00,MOT,cups and saucers !,cup and saucer !,n coord n,,formatted/Bernstein/Gail/011100.json,u31,gail
41,,,,,00:00:00,MOT,mm hm !,mm hm !,co co,,formatted/Bernstein/Gail/011100.json,u31,gail
42,,,,,00:00:00,MOT,oh how many balloons ?,oh how many balloon ?,co pro_rel qn n,,formatted/Bernstein/Gail/011100.json,u31,gail
43,,,,,00:00:00,MOT,what pretty colors .,what pretty color .,pro_int adj n,,formatted/Bernstein/Gail/011100.json,u31,gail
44,,,,,00:00:00,MOT,can you tell me what colors ?,can you tell me what color ?,mod pro_per v pro_obj pro_int n,,formatted/Bernstein/Gail/011100.json,u31,gail
45,,,,,00:00:00,MOT,what about this one ?,what about this one ?,pro_int prep det_dem pro_indef,,formatted/Bernstein/Gail/011100.json,u31,gail
46,,,,,00:00:00,MOT,what color's that ?,what color be that ?,pro_int n cop pro_dem,,formatted/Bernstein/Gail/011100.json,u31,gail
47,,,,,00:00:00,MOT,yes !,yes !,co,,formatted/Bernstein/Gail/011100.json,u31,gail
48,,,,,00:00:00,MOT,an how bout the crayons ?,and how about the crayon ?,coord pro_rel prep det_art n,,formatted/Bernstein/Gail/011100.json,u31,gail
49,,,,,00:00:00,MOT,can you tell me the colors on the crayons ?,can you tell me the color on the crayon ?,mod pro_per v pro_obj det_art n prep det_art n,,formatted/Bernstein/Gail/011100.json,u31,gail
50,,,,,00:00:00,MOT,what color ?,what color ?,pro_int n,,formatted/Bernstein/Gail/011100.json,u31,gail
51,,,,,00:00:00,MOT,well that's interesting .,well that be interesting .,co pro_dem cop adj,,formatted/Bernstein/Gail/011100.json,u31,gail
52,,,,,00:00:00,MOT,you wanna play with something else ?,you want to play with something else ?,pro_per v inf v prep pro_indef post,,formatted/Bernstein/Gail/011100.json,u31,gail
53,,,,,00:00:00,MOT,I'll tell you what this time you put your hand in here and you make the dragon come alive !,I will tell you what this time you put your hand in here and you make the dragon come alive !,pro_sub mod v pro_per pro_int det_dem n pro_per v det_poss n prep n coord pro_per v det_art n v adj,,formatted/Bernstein/Gail/011100.json,u31,gail
54,,,,,00:00:00,MOT,can you do it ?,can you do it ?,mod pro_per v pro_per,,formatted/Bernstein/Gail/011100.json,u31,gail
55,,,,,00:00:00,MOT,put your hand right in there whoa !,put your hand right in there whoa !,v det_poss n adv prep n co,,formatted/Bernstein/Gail/011100.json,u31,gail
56,,,,,00:00:00,MOT,what's that ?,what be that ?,pro_int cop pro_dem,,formatted/Bernstein/Gail/011100.json,u31,gail
57,,,,,00:00:00,MOT,it's a ferocious dragon !,it be a ferocious dragon !,pro_per cop det_art adj n,,formatted/Bernstein/Gail/011100.json,u31,gail
58,,,,,00:00:00,MOT,can you put your hand in ?,can you put your hand in ?,mod pro_per v det_poss n adv,,formatted/Bernstein/Gail/011100.json,u31,gail
59,,,,,00:00:00,MOT,make him come alive ?,make him come alive ?,v pro_obj v adj,,formatted/Bernstein/Gail/011100.json,u31,gail
60,,,,,00:00:00,MOT,make him move ?,make him move ?,v pro_obj n,,formatted/Bernstein/Gail/011100.json,u31,gail
61,,,,,00:00:00,MOT,shall we open the door ?,shall we open the door ?,mod pro_sub v det_art n,,formatted/Bernstein/Gail/011100.json,u31,gail
62,,,,,00:00:00,MOT,oh alright .,oh alright .,co adj,,formatted/Bernstein/Gail/011100.json,u31,gail
63,,,,,00:00:00,MOT,what's happened to the door ?,what be happen to the door ?,pro_int aux part prep det_art n,,formatted/Bernstein/Gail/011100.json,u31,gail
64,,,,,00:00:00,CHI,xxx,,,,formatted/Bernstein/Gail/011100.json,u31,gail
65,,,,,00:00:00,MOT,is the door stuck ?,be the door stick ?,cop det_art n v,,formatted/Bernstein/Gail/011100.json,u31,gail
66,,,,,00:00:00,MOT,oh !,oh !,co,,formatted/Bernstein/Gail/011100.json,u31,gail
67,,,,,00:00:00,MOT,would you like mummie to make him come alive ?,will you like mum to make him come alive ?,mod pro_per v n inf v pro_obj v adj,,formatted/Bernstein/Gail/011100.json,u31,gail
68,,,,,00:00:00,MOT,alright .,alright .,co,,formatted/Bernstein/Gail/011100.json,u31,gail
69,,,,,00:00:00,MOT,we can talk .,we can talk .,pro_sub mod v,,formatted/Bernstein/Gail/011100.json,u31,gail
70,,,,,00:00:00,MOT,what's your name ?,what be your name ?,pro_int cop det_poss n,,formatted/Bernstein/Gail/011100.json,u31,gail
71,,,,,00:00:00,MOT,what's your name ?,what be your name ?,pro_int cop det_poss n,,formatted/Bernstein/Gail/011100.json,u31,gail
72,,,,,00:00:00,CHI,my name is Gail .,my name be Gail .,det_poss n cop n_prop,,formatted/Bernstein/Gail/011100.json,u31,gail
73,,,,,00:00:00,MOT,how old are you ?,how old be you ?,pro_int adj aux pro_per,,formatted/Bernstein/Gail/011100.json,u31,gail
74,,,,,00:00:00,MOT,how old are you ?,how old be you ?,pro_int adj aux pro_per,,formatted/Bernstein/Gail/011100.json,u31,gail
75,,,,,00:00:00,MOT,do you remember ?,do you remember ?,mod pro_per v,,formatted/Bernstein/Gail/011100.json,u31,gail
76,,,,,00:00:00,MOT,you were playing with the toys ?,you be play with the toy ?,pro_per aux part prep det_art n,,formatted/Bernstein/Gail/011100.json,u31,gail
77,,,,,00:00:00,MOT,which one did you like the best ?,which one do you like the good ?,pro_rel det_num mod pro_per v det_art adj,,formatted/Bernstein/Gail/011100.json,u31,gail
78,,,,,00:00:00,CHI,yyy,,,,formatted/Bernstein/Gail/011100.json,u31,gail
79,,,,,00:00:00,MOT,when are you going home ?,when be you go home ?,conj aux pro_per part adv,,formatted/Bernstein/Gail/011100.json,u31,gail
80,,,,,00:00:00,MOT,where do you live ?,where do you live ?,pro_int mod pro_per adj,,formatted/Bernstein/Gail/011100.json,u31,gail
81,,,,,00:00:00,MOT,in the top ?,in the top ?,prep det_art n,,formatted/Bernstein/Gail/011100.json,u31,gail
82,,,,,00:00:00,MOT,you do ?,you do ?,pro_per v,,formatted/Bernstein/Gail/011100.json,u31,gail
83,,,,,00:00:00,MOT,you want me to go inside ?,you want me to go inside ?,pro_per v pro_obj inf v adv,,formatted/Bernstein/Gail/011100.json,u31,gail
84,,,,,00:00:00,MOT,oh but I'm so friendly and I'm so hungry ...,oh but I be so friend and I be so hungry ...,co conj pro_sub cop adv adj coord pro_sub cop adv adj,,formatted/Bernstein/Gail/011100.json,u31,gail
85,,,,,00:00:00,MOT,is that toast ?,be that toast ?,cop pro_dem v,,formatted/Bernstein/Gail/011100.json,u31,gail
86,,,,,00:00:00,MOT,oh cn I have some more ?,oh can I have some more ?,co mod pro_sub v qn pro_indef,,formatted/Bernstein/Gail/011100.json,u31,gail
87,,,,,00:00:00,MOT,please ?,please ?,co,,formatted/Bernstein/Gail/011100.json,u31,gail
88,,,,,00:00:00,MOT,thank_you .,thank_you .,co,,formatted/Bernstein/Gail/011100.json,u31,gail
89,,,,,00:00:00,MOT,would you please make me some something to eat ?,will you please make me some something to eat ?,mod pro_per co v pro_obj qn pro_indef inf v,,formatted/Bernstein/Gail/011100.json,u31,gail
90,,,,,00:00:00,MOT,what are you going to make me ?,what be you go to make me ?,pro_int aux pro_per part inf v pro_obj,,formatted/Bernstein/Gail/011100.json,u31,gail
91,,,,,00:00:00,MOT,can you go in the kitchen and get me something to eat ?,can you go in the kitchen and get me something to eat ?,mod pro_per v prep det_art n coord v pro_obj pro_indef inf v,,formatted/Bernstein/Gail/011100.json,u31,gail
92,,,,,00:00:00,MOT,oh !,oh !,co,,formatted/Bernstein/Gail/011100.json,u31,gail
93,,,,,00:00:00,MOT,what is it ?,what be it ?,pro_int cop pro_per,,formatted/Bernstein/Gail/011100.json,u31,gail
94,,,,,00:00:00,MOT,toast ?,toast ?,n,,formatted/Bernstein/Gail/011100.json,u31,gail
95,,,,,00:00:00,MOT,more toast ?,more toast ?,qn n,,formatted/Bernstein/Gail/011100.json,u31,gail
96,,,,,00:00:00,MOT,I'm tired of toast .,I be tire of toast .,pro_sub aux part prep n,,formatted/Bernstein/Gail/011100.json,u31,gail
97,,,,,00:00:00,MOT,can you find me something better than toast ?,can you find me something good than toast ?,mod pro_per v pro_obj pro_indef adv prep n,,formatted/Bernstein/Gail/011100.json,u31,gail
98,,,,,00:00:00,MOT,something else ?,something else ?,pro_indef post,,formatted/Bernstein/Gail/011100.json,u31,gail
99,,,,,00:00:00,MOT,what is it ?,what be it ?,pro_int cop pro_per,,formatted/Bernstein/Gail/011100.json,u31,gail
100,,,,,00:00:00,MOT,I'm so hungry .,I be so hungry .,pro_sub cop adv adj,,formatted/Bernstein/Gail/011100.json,u31,gail
101,,,,,00:00:00,MOT,what is it ?,what be it ?,pro_int cop pro_per,,formatted/Bernstein/Gail/011100.json,u31,gail
102,,,,,00:00:00,MOT,more toast ?,more toast ?,qn n,,formatted/Bernstein/Gail/011100.json,u31,gail
103,,,,,00:00:00,MOT,oh I don't want any more toast .,oh I do not want any more toast .,co pro_sub mod neg v qn qn n,,formatted/Bernstein/Gail/011100.json,u31,gail
104,,,,,00:00:00,MOT,I want something else .,I want something else .,pro_sub v pro_indef post,,formatted/Bernstein/Gail/011100.json,u31,gail
105,,,,,00:00:00,MOT,I want some bananas can you find me some bananas ?,I want some banana can you find me some banana ?,pro_sub v qn n mod pro_per v pro_obj qn n,,formatted/Bernstein/Gail/011100.json,u31,gail
106,,,,,00:00:00,MOT,cheese ?,cheese ?,n,,formatted/Bernstein/Gail/011100.json,u31,gail
107,,,,,00:00:00,MOT,what kind of cheese ?,what kind of cheese ?,pro_int n prep n,,formatted/Bernstein/Gail/011100.json,u31,gail
108,,,,,00:00:00,MOT,yellow cheese ?,yellow cheese ?,n n,,formatted/Bernstein/Gail/011100.json,u31,gail
109,,,,,00:00:00,MOT,quickly .,quick .,adv,,formatted/Bernstein/Gail/011100.json,u31,gail
110,,,,,00:00:00,MOT,get me some yellow cheese I'm so hungry .,get me some yellow cheese I be so hungry .,v pro_obj qn n n pro_sub cop adv adj,,formatted/Bernstein/Gail/011100.json,u31,gail
111,,,,,00:00:00,MOT,oh he's not yellow cheese .,oh he be not yellow cheese .,co pro_sub cop neg adj n,,formatted/Bernstein/Gail/011100.json,u31,gail
112,,,,,00:00:00,MOT,I don't wanna eat a boy !,I do not want to eat a boy !,pro_sub mod neg v inf v det_art n,,formatted/Bernstein/Gail/011100.json,u31,gail
113,,,,,00:00:00,MOT,oh I'm so hungry !,oh I be so hungry !,co pro_sub cop adv adj,,formatted/Bernstein/Gail/011100.json,u31,gail
114,,,,,00:00:00,MOT,oh I don't want any more toast .,oh I do not want any more toast .,co pro_sub mod neg v qn qn n,,formatted/Bernstein/Gail/011100.json,u31,gail
115,,,,,00:00:00,MOT,no thank_you .,no thank_you .,qn n,,formatted/Bernstein/Gail/011100.json,u31,gail
116,,,,,00:00:00,MOT,I want some meat .,I want some meat .,pro_sub v qn n,,formatted/Bernstein/Gail/011100.json,u31,gail
117,,,,,00:00:00,MOT,okay ?,okay ?,co,,formatted/Bernstein/Gail/011100.json,u31,gail
118,,,,,00:00:00,MOT,oh thank_you !,oh thank_you !,co n,,formatted/Bernstein/Gail/011100.json,u31,gail
119,,,,,00:00:00,MOT,I'm so hungry but do I hafta lick the meat .,I be so hungry but do I have to lick the meat .,pro_sub cop adv adj conj mod pro_sub mod inf v det_art n,,formatted/Bernstein/Gail/011100.json,u31,gail
120,,,,,00:00:00,MOT,I wanna chew it .,I want to chew it .,pro_sub v inf v pro_per,,formatted/Bernstein/Gail/011100.json,u31,gail
121,,,,,00:00:00,MOT,more !,more !,pro_indef,,formatted/Bernstein/Gail/011100.json,u31,gail
122,,,,,00:00:00,MOT,more !,more !,pro_indef,,formatted/Bernstein/Gail/011100.json,u31,gail
123,,,,,00:00:00,MOT,more !,more !,pro_indef,,formatted/Bernstein/Gail/011100.json,u31,gail
124,,,,,00:00:00,MOT,more !,more !,pro_indef,,formatted/Bernstein/Gail/011100.json,u31,gail
125,,,,,00:00:00,MOT,oh I don't wanna lick the meat I wanna eat it all up !,oh I do not want to lick the meat I want to eat it all up !,co pro_sub mod neg v inf v det_art n pro_sub v inf v pro_per adv adv,,formatted/Bernstein/Gail/011100.json,u31,gail
126,,,,,00:00:00,MOT,please ?,please ?,co,,formatted/Bernstein/Gail/011100.json,u31,gail
127,,,,,00:00:00,MOT,it's all_gone !,it be all_gone !,pro_per cop adj,,formatted/Bernstein/Gail/011100.json,u31,gail
128,,,,,00:00:00,MOT,oh thank_you thank_you you make me feel better when you pat me on the nose even when I'm hungry .,oh thank_you thank_you you make me feel good when you pat me on the nose even when I be hungry .,co n n pro_per v pro_obj v adj conj pro_per v pro_obj prep det_art n adv conj pro_sub cop adj,,formatted/Bernstein/Gail/011100.json,u31,gail
129,,,,,00:00:00,MOT,be careful I'm so hungry I might eat you up !,be care I be so hungry I might eat you up !,aux adj pro_sub cop adv adj pro_sub mod v pro_per adv,,formatted/Bernstein/Gail/011100.json,u31,gail
130,,,,,00:00:00,MOT,are you my friend ?,be you my friend ?,cop pro_per det_poss n,,formatted/Bernstein/Gail/011100.json,u31,gail
131,,,,,00:00:00,MOT,and a girl ?,and a girl ?,coord det_art n,,formatted/Bernstein/Gail/011100.json,u31,gail
132,,,,,00:00:00,MOT,are you a nice girl ?,be you a nice girl ?,cop pro_per det_art adj n,,formatted/Bernstein/Gail/011100.json,u31,gail
133,,,,,00:00:00,MOT,oh I like you you're my friend !,oh I like you you be my friend !,co pro_sub v pro_per pro_per cop det_poss n,,formatted/Bernstein/Gail/011100.json,u31,gail
134,,,,,00:00:00,MOT,can you close my little door so I can go to sleep now ?,can you close my little door so I can go to sleep now ?,mod pro_per v det_poss adj n conj pro_sub mod v inf v adv,,formatted/Bernstein/Gail/011100.json,u31,gail
135,,,,,00:00:00,MOT,byebye byebye !,byebye byebye !,co co,,formatted/Bernstein/Gail/011100.json,u31,gail
136,,,,,00:00:00,MOT,can you say byebye ?,can you say byebye ?,mod pro_per v co,,formatted/Bernstein/Gail/011100.json,u31,gail
137,,,,,00:00:00,MOT,can you give me a little kiss ?,can you give me a little kiss ?,mod pro_per v pro_obj det_art adj n,,formatted/Bernstein/Gail/011100.json,u31,gail
138,,,,,00:00:00,MOT,byebye .,byebye .,co,,formatted/Bernstein/Gail/011100.json,u31,gail
139,,,,,00:00:00,MOT,I'm going to sleep now .,I be go to sleep now .,pro_sub aux part inf v adv,,formatted/Bernstein/Gail/011100.json,u31,gail
0,,,,,00:00:00,MOT,pat the bunny .,pat the bunny .,v det_art n,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
1,,,,,00:00:00,MOT,oh !,oh !,co,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
2,,,,,00:00:00,MOT,you know pat the bunny !,you know pat the bunny !,pro_per v v det_art n,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
3,,,,,00:00:00,MOT,Judy can look in the mirror .,Judy can look in the mirror .,n_prop n v prep det_art n,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
4,,,,,00:00:00,MOT,now you look in the mirror .,now you look in the mirror .,adv pro_per v prep det_art n,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
5,,,,,00:00:00,MOT,peekaboo !,peekaboo !,co,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
6,,,,,00:00:00,MOT,who's that ?,who be that ?,pro_int cop pro_dem,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
7,,,,,00:00:00,MOT,that's Ann ?,that be Ann ?,pro_dem cop n_prop,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
8,,,,,00:00:00,MOT,shall I just keep going ?,shall I just keep go ?,mod pro_sub adv v part,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
9,,,,,00:00:00,MOT,Judy can feel daddy's scratchy face .,Judy can feel daddy scratch face .,n_prop mod v adj adj n,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
10,,,,,00:00:00,MOT,oh ...,oh ...,co,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
11,,,,,00:00:00,MOT,what does that feel like ?,what do that feel like ?,pro_int mod adv v prep,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
12,,,,,00:00:00,MOT,what does that feel like ?,what do that feel like ?,pro_int mod adv v prep,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
13,,,,,00:00:00,MOT,does it feel scratchy ?,do it feel scratch ?,mod pro_per v adj,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
14,,,,,00:00:00,MOT,can you say scratchy ?,can you say scratch ?,mod pro_per v adj,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
15,,,,,00:00:00,MOT,Judy can read her book .,Judy can read her book .,n_prop n v det_poss n,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
16,,,,,00:00:00,MOT,now you read Judy's book .,now you read Judy book .,adv pro_per v adj n,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
17,,,,,00:00:00,MOT,what happens ?,what happen ?,pro_int v,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
18,,,,,00:00:00,MOT,hear the tick tick tick bunny ?,hear the tick tick tick bunny ?,v det_art n n n n,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
19,,,,,00:00:00,MOT,what's that ?,what be that ?,pro_int cop pro_dem,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
20,,,,,00:00:00,MOT,what's e listening to ?,what be he listen to ?,pro_int cop pro_sub part prep,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
21,,,,,00:00:00,MOT,a clock .,a clock .,det_art n,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
22,,,,,00:00:00,MOT,how big is bunny ?,how big be bunny ?,pro_int adj aux n,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
23,,,,,00:00:00,MOT,he's so big !,he be so big !,pro_sub cop adv adj,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
24,,,,,00:00:00,MOT,bunny's eating his food .,bunny be eat his food .,n aux part det_poss n,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
25,,,,,00:00:00,MOT,right .,right .,co,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
26,,,,,00:00:00,MOT,you've already read this book before .,you have already read this book before .,pro_per aux adv v det_dem n adv,,formatted/Bernstein/Gail/010900.json,u30 u31 u34 u95 u124 u158 u158 u172 u186 u186 u186 u186 u186 u186 u205 u241 u251 u251 u303 u328 u369 u371 u384 u444 u466 u510,gail
