utterance,spa_all,spa_1,spa_2,spa_2a,time_stamp,speaker,sentence,lemmas,pos,action,file_id,errors,child
13,,,,,00:00:00,MOT,oh .,oh .,co,looks at Doug,formatted/Bates/Snack28/doug_snack.json,,doug
14,,,,,00:00:00,MOT,are you hungry ?,be you hungry ?,cop pro_per adj,,formatted/Bates/Snack28/doug_snack.json,,doug
15,,,,,00:00:00,MOT,you're pretty serious today .,you be pretty serious today .,pro_per cop adj adj adv_tem,,formatted/Bates/Snack28/doug_snack.json,,doug
16,,,,,00:00:00,CHI,,,,looks at camera . looks at Mother . looks around room,formatted/Bates/Snack28/doug_snack.json,,doug
17,,,,,00:00:00,MOT,my_goodness .,my_goodness .,co,looks at Doug,formatted/Bates/Snack28/doug_snack.json,,doug
18,,,,,00:00:00,MOT,you better slow down .,you good slow down .,pro_per adj adv adv,,formatted/Bates/Snack28/doug_snack.json,,doug
19,,,,,00:00:00,MOT,I've never seen you eat so many crackers in my whole life .,I have never see you eat so many cracker in my whole life .,pro_sub aux adv_tem part pro_per v adv qn n prep det_poss adj n,,formatted/Bates/Snack28/doug_snack.json,,doug
20,,,,,00:00:00,MOT,how are you doing ?,how be you do ?,pro_int aux pro_per part,,formatted/Bates/Snack28/doug_snack.json,,doug
21,,,,,00:00:00,CHI,no no Mum .,no no Mum .,co co n_prop,<bef> looks at Father . looks at Mother,formatted/Bates/Snack28/doug_snack.json,,doug
22,,,,,00:00:00,MOT,no no ?,no no ?,co co,,formatted/Bates/Snack28/doug_snack.json,,doug
23,,,,,00:00:00,MOT,I'm not supposed to talk to you ?,I be not suppose to talk to you ?,pro_sub aux neg part inf v prep pro_per,,formatted/Bates/Snack28/doug_snack.json,,doug
24,,,,,00:00:00,CHI,no .,no .,co,,formatted/Bates/Snack28/doug_snack.json,,doug
25,,,,,00:00:00,MOT,why not ?,why not ?,pro_int neg,,formatted/Bates/Snack28/doug_snack.json,,doug
26,,,,,00:00:00,CHI,no .,no .,co,,formatted/Bates/Snack28/doug_snack.json,,doug
27,,,,,00:00:00,MOT,you just want to eat by yourself ?,you just want to eat by yourself ?,pro_per adv v inf v prep pro_refl,,formatted/Bates/Snack28/doug_snack.json,,doug
28,,,,,00:00:00,CHI,,,,,formatted/Bates/Snack28/doug_snack.json,,doug
29,,,,,00:00:00,MOT,you don't want to talk ?,you do not want to talk ?,pro_per mod neg v inf v,,formatted/Bates/Snack28/doug_snack.json,,doug
30,,,,,00:00:00,CHI,no .,no .,co,,formatted/Bates/Snack28/doug_snack.json,,doug
31,,,,,00:00:00,MOT,did you see the snow falling under the trees ?,do you see the snow fall under the tree ?,mod pro_per v det_art n part prep det_art n,,formatted/Bates/Snack28/doug_snack.json,,doug
32,,,,,00:00:00,CHI,the bear tree .,the bear tree .,det_art n n,,formatted/Bates/Snack28/doug_snack.json,,doug
33,,,,,00:00:00,MOT,hm ?,hm ?,co,,formatted/Bates/Snack28/doug_snack.json,,doug
34,,,,,00:00:00,MOT,hm ?,hm ?,co,,formatted/Bates/Snack28/doug_snack.json,,doug
35,,,,,00:00:00,CHI,the bear trees .,the bear tree .,det_art n n,looks out window .,formatted/Bates/Snack28/doug_snack.json,,doug
36,,,,,00:00:00,MOT,the bear trees ?,the bear tree ?,det_art n n,,formatted/Bates/Snack28/doug_snack.json,,doug
37,,,,,00:00:00,MOT,no those are the pine trees .,no those be the pine tree .,qn pro_dem cop det_art n n,,formatted/Bates/Snack28/doug_snack.json,,doug
38,,,,,00:00:00,MOT,those are pine trees .,those be pine tree .,pro_dem cop n n,,formatted/Bates/Snack28/doug_snack.json,,doug
39,,,,,00:00:00,CHI,where bear trees ?,where bear tree ?,pro_int n n,looks at Mother . looks out window . looks at camera,formatted/Bates/Snack28/doug_snack.json,,doug
40,,,,,00:00:00,MOT,the bear trees are in the town .,the bear tree be in the town .,det_art n n cop prep det_art n,,formatted/Bates/Snack28/doug_snack.json,,doug
41,,,,,00:00:00,CHI,what those ladies name ?,what those lady name ?,pro_int det_dem n n,<aft> glances at Mother . looks at camera,formatted/Bates/Snack28/doug_snack.json,,doug
42,,,,,00:00:00,MOT,what are those ladies names ?,what be those lady name ?,pro_int cop det_dem n v,,formatted/Bates/Snack28/doug_snack.json,,doug
43,,,,,00:00:00,MOT,well one lady's name is Inge and I'm not sure about the other lady's name .,well one lady name be Inge and I be not sure about the other lady name .,co det_num adj n cop n_prop coord pro_sub cop neg adj prep det_art qn adj n,,formatted/Bates/Snack28/doug_snack.json,,doug
44,,,,,00:00:00,INV,Margie .,Margie .,n_prop,,formatted/Bates/Snack28/doug_snack.json,,doug
45,,,,,00:00:00,MOT,Margie .,Margie .,n_prop,,formatted/Bates/Snack28/doug_snack.json,,doug
46,,,,,00:00:00,CHI,what is that lady's name ?,what be that lady name ?,pro_int cop det_dem adj n,points to Investigator,formatted/Bates/Snack28/doug_snack.json,,doug
47,,,,,00:00:00,MOT,well Margie is sitting on the couch and Inge is standing up .,well Margie be sit on the couch and Inge be stand up .,co n_prop aux part prep det_art n coord n_prop aux part adv,looks at Doug,formatted/Bates/Snack28/doug_snack.json,,doug
48,,,,,00:00:00,MOT,is that alright ?,be that alright ?,cop comp co,,formatted/Bates/Snack28/doug_snack.json,,doug
49,,,,,00:00:00,CHI,where's Inge ?,where be Inge ?,pro_int cop n_prop,<bef> looks at Mother . <dur> looks at Investigator,formatted/Bates/Snack28/doug_snack.json,,doug
50,,,,,00:00:00,MOT,where is she ?,where be she ?,pro_int cop pro_sub,,formatted/Bates/Snack28/doug_snack.json,,doug
51,,,,,00:00:00,MOT,what is she doing ?,what be she do ?,pro_int cop pro_sub part,,formatted/Bates/Snack28/doug_snack.json,,doug
52,,,,,00:00:00,CHI,standing up .,stand up .,part adv,points to Investigator,formatted/Bates/Snack28/doug_snack.json,,doug
53,,,,,00:00:00,MOT,that's right .,that be right .,pro_dem cop co,,formatted/Bates/Snack28/doug_snack.json,,doug
54,,,,,00:00:00,MOT,would you put your glass back a little bit so it doesn't tip over ?,will you put your glass back a little bit so it do not tip over ?,mod pro_per v det_poss n adv det_art adj n conj pro_per mod neg v adv,,formatted/Bates/Snack28/doug_snack.json,,doug
55,,,,,00:00:00,CHI,what that person's name ?,what that person name ?,pro_int det_dem adj n,"looks , points at person",formatted/Bates/Snack28/doug_snack.json,,doug
56,,,,,00:00:00,MOT,her name is Margie .,her name be Margie .,det_poss n cop n_prop,,formatted/Bates/Snack28/doug_snack.json,,doug
57,,,,,00:00:00,MOT,what's yer name ?,what be your name ?,pro_int cop det_poss n,,formatted/Bates/Snack28/doug_snack.json,,doug
58,,,,,00:00:00,CHI,xxx,,,"looks , points around room",formatted/Bates/Snack28/doug_snack.json,,doug
59,,,,,00:00:00,MOT,things ?,thing ?,n,,formatted/Bates/Snack28/doug_snack.json,,doug
60,,,,,00:00:00,MOT,what's your name ?,what be your name ?,pro_int cop det_poss n,,formatted/Bates/Snack28/doug_snack.json,,doug
61,,,,,00:00:00,CHI,what are those over there ?,what be those over there ?,pro_int cop det_dem prep n,"looks , points around room",formatted/Bates/Snack28/doug_snack.json,,doug
62,,,,,00:00:00,MOT,those are more things toys and books and things like that .,those be more thing toy and book and thing like that .,pro_dem cop qn n v coord n coord n prep pro_dem,,formatted/Bates/Snack28/doug_snack.json,,doug
63,,,,,00:00:00,CHI,where's books ?,where be book ?,pro_int cop n,looks around room . glances at Mother . looks at camera,formatted/Bates/Snack28/doug_snack.json,,doug
64,,,,,00:00:00,MOT,well you looked at some books with Margie remember ?,well you look at some book with Margie remember ?,n pro_per part prep qn n prep n_prop v,,formatted/Bates/Snack28/doug_snack.json,,doug
65,,,,,00:00:00,CHI,where's Margie ?,where be Margie ?,pro_int cop n_prop,<aft> points to Investigator,formatted/Bates/Snack28/doug_snack.json,,doug
66,,,,,00:00:00,MOT,where is she ?,where be she ?,pro_int cop pro_sub,looks at Doug,formatted/Bates/Snack28/doug_snack.json,,doug
67,,,,,00:00:00,MOT,what is she doing ?,what be she do ?,pro_int cop pro_sub part,,formatted/Bates/Snack28/doug_snack.json,,doug
68,,,,,00:00:00,MOT,you must be starving .,you must be starve .,pro_per mod aux part,,formatted/Bates/Snack28/doug_snack.json,,doug
69,,,,,00:00:00,CHI,no .,no .,co,looks at Mother,formatted/Bates/Snack28/doug_snack.json,,doug
70,,,,,00:00:00,MOT,no ?,no ?,co,,formatted/Bates/Snack28/doug_snack.json,,doug
71,,,,,00:00:00,CHI,why don't you touch that ?,why do not you touch that ?,pro_int mod neg pro_per v pro_dem,points to tape recorder on table,formatted/Bates/Snack28/doug_snack.json,,doug
72,,,,,00:00:00,MOT,well I don't need to touch it .,well I do not need to touch it .,co pro_sub mod neg v inf v pro_per,glances at recorder . looks at Doug,formatted/Bates/Snack28/doug_snack.json,,doug
73,,,,,00:00:00,MOT,it's fine without me touching it .,it be fine without me touch it .,pro_per cop adj prep pro_obj part pro_per,,formatted/Bates/Snack28/doug_snack.json,,doug
74,,,,,00:00:00,MOT,it's doing fine .,it be do fine .,pro_per aux part adv,,formatted/Bates/Snack28/doug_snack.json,,doug
75,,,,,00:00:00,MOT,how are you doin ?,how be you do ?,pro_int aux pro_per part,,formatted/Bates/Snack28/doug_snack.json,,doug
76,,,,,00:00:00,CHI,no no Ma .,no no Ma .,co co n_prop,looks at Mother,formatted/Bates/Snack28/doug_snack.json,,doug
77,,,,,00:00:00,MOT,I'm not supposed to ask ya ?,I be not suppose to ask you ?,pro_sub aux neg part inf v pro_per,,formatted/Bates/Snack28/doug_snack.json,,doug
78,,,,,00:00:00,CHI,no .,no .,co,looks at Mother,formatted/Bates/Snack28/doug_snack.json,,doug
79,,,,,00:00:00,MOT,no ?,no ?,co,,formatted/Bates/Snack28/doug_snack.json,,doug
80,,,,,00:00:00,CHI,no Ma .,no Ma .,co n_prop,,formatted/Bates/Snack28/doug_snack.json,,doug
81,,,,,00:00:00,MOT,alright .,alright .,co,,formatted/Bates/Snack28/doug_snack.json,,doug
82,,,,,00:00:00,CHI,xxx ?, ?,,looks around room,formatted/Bates/Snack28/doug_snack.json,,doug
83,,,,,00:00:00,MOT,xxx that's fine over there by that ., that be fine over there by that ., pro_dem cop adj prep n prep pro_dem,,formatted/Bates/Snack28/doug_snack.json,,doug
84,,,,,00:00:00,MOT,he's just sitting there quietly .,he be just sit there quiet .,pro_sub aux adv part adv adv,,formatted/Bates/Snack28/doug_snack.json,,doug
85,,,,,00:00:00,MOT,he's a good machine .,he be a good machine .,pro_sub cop det_art adj n,<1w> smiles,formatted/Bates/Snack28/doug_snack.json,,doug
86,,,,,00:00:00,MOT,what are you doing ?,what be you do ?,pro_int aux pro_per part,,formatted/Bates/Snack28/doug_snack.json,,doug
87,,,,,00:00:00,CHI,no no Ma .,no no Ma .,co co n_prop,,formatted/Bates/Snack28/doug_snack.json,,doug
88,,,,,00:00:00,MOT,you don't want anybody to talk about what you're doing or how you are ?,you do not want anybody to talk about what you be do or how you be ?,pro_per mod neg v pro_indef inf v prep pro_int pro_per aux part coord pro_int pro_per cop,,formatted/Bates/Snack28/doug_snack.json,,doug
89,,,,,00:00:00,CHI,no .,no .,co,,formatted/Bates/Snack28/doug_snack.json,,doug
90,,,,,00:00:00,MOT,no ?,no ?,co,,formatted/Bates/Snack28/doug_snack.json,,doug
91,,,,,00:00:00,MOT,alright then .,alright then .,co adv_tem,,formatted/Bates/Snack28/doug_snack.json,,doug
92,,,,,00:00:00,CHI,no .,no .,co,looks out window,formatted/Bates/Snack28/doug_snack.json,,doug
93,,,,,00:00:00,MOT,no ?,no ?,co,,formatted/Bates/Snack28/doug_snack.json,,doug
94,,,,,00:00:00,MOT,what did your Daddy do this morning ?,what do your Daddy do this morning ?,pro_int mod det_poss n_prop v det_dem n,,formatted/Bates/Snack28/doug_snack.json,,doug
95,,,,,00:00:00,CHI,where Mommy go ?,where Mommy go ?,pro_int n_prop v,<bef> looks at Mother,formatted/Bates/Snack28/doug_snack.json,,doug
96,,,,,00:00:00,MOT,hm ?,hm ?,co,,formatted/Bates/Snack28/doug_snack.json,,doug
97,,,,,00:00:00,CHI,where Mommy go ?,where Mommy go ?,pro_int n_prop v,,formatted/Bates/Snack28/doug_snack.json,,doug
98,,,,,00:00:00,MOT,Mommy went to the university this morning to get some books .,Mommy go to the university this morning to get some book .,n_prop v prep det_art n det_dem n inf v qn n,,formatted/Bates/Snack28/doug_snack.json,,doug
99,,,,,00:00:00,CHI,where's Mommy's books ?,where be Mommy book ?,pro_int cop adj n,<bef> glances at camera . <dur> looks at floor,formatted/Bates/Snack28/doug_snack.json,,doug
100,,,,,00:00:00,MOT,they're in the hallway in a big bag .,they be in the hallway in a big bag .,pro_sub cop prep det_art n prep det_art adj n,,formatted/Bates/Snack28/doug_snack.json,,doug
101,,,,,00:00:00,CHI,a big boy .,a big boy .,det_art adj n,,formatted/Bates/Snack28/doug_snack.json,,doug
102,,,,,00:00:00,MOT,pardon me ?,pardon me ?,v pro_obj,looks at Doug,formatted/Bates/Snack28/doug_snack.json,,doug
103,,,,,00:00:00,CHI,xxx,,,,formatted/Bates/Snack28/doug_snack.json,,doug
104,,,,,00:00:00,MOT,d you wan a be a big boy ?,do you want to be a big boy ?,mod pro_per v inf cop det_art adj n,,formatted/Bates/Snack28/doug_snack.json,,doug
0,,,,,00:00:00,MOT,okay come on .,okay come on .,co v adv,looks at Sue,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
1,,,,,00:00:00,MOT,you gonna crack em ?,you go to crack them ?,pro_per part inf v pro_obj,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
2,,,,,00:00:00,CHI,,,,looks at Mother . nods,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
3,,,,,00:00:00,MOT,alrightie .,alrightie .,co,<1w> looks at snack . picks up snack .,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
4,,,,,00:00:00,MOT,very good !,very good !,adv adj,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
5,,,,,00:00:00,MOT,where you gonna stick your shells ?,where you go to stick your shell ?,pro_int pro_per part inf v det_poss n,<1w> looks at Sue,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
6,,,,,00:00:00,CHI,hard .,hard .,adv,<bef> looks at Mother,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
7,,,,,00:00:00,MOT,is it hard ?,be it hard ?,aux pro_per adv,<1w> nods,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
8,,,,,00:00:00,MOT,and you got it didn't ?,and you get it do not ?,coord pro_per v pro_per mod neg,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
9,,,,,00:00:00,CHI,got it .,get it .,v pro_per,"<bef> looks at Mother , nods . <aft> looks at Mother",formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
10,,,,,00:00:00,MOT,good !,good !,adj,looks at table,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
11,,,,,00:00:00,MOT,mm how is it ?,mm how be it ?,co pro_rel cop pro_per,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
12,,,,,00:00:00,CHI,good .,good .,adj,<aft> looks at snack . nods,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
13,,,,,00:00:00,MOT,mm .,mm .,co,looks at snack,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
14,,,,,00:00:00,MOT,gonna have another one ?,go to have another one ?,part inf v qn pro_indef,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
15,,,,,00:00:00,CHI,I don't want .,I do not want .,pro_sub mod neg v,looks at Mother,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
16,,,,,00:00:00,MOT,don't want that one ?,do not want that one ?,mod neg v det_dem pro_indef,<bef> looks at Sue . <1w> shakes head,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
17,,,,,00:00:00,MOT,would you rather have a glass of juice ?,will you rather have a glass of juice ?,mod pro_per adv v det_art n prep n,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
18,,,,,00:00:00,MOT,how bout some root beer ?,how about some root beer ?,pro_int prep qn n n,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
19,,,,,00:00:00,CHI,,,,looks at Mother,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
20,,,,,00:00:00,MOT,what do you want ?,what do you want ?,pro_int mod pro_per v,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
21,,,,,00:00:00,MOT,you don't like it ?,you do not like it ?,pro_per mod neg v pro_per,<1w> shakes head,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
22,,,,,00:00:00,MOT,okay .,okay .,co,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
23,,,,,00:00:00,MOT,what would you like ?,what will you like ?,pro_int mod pro_per v,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
24,,,,,00:00:00,CHI,juice .,juice .,n,<aft> nods,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
25,,,,,00:00:00,MOT,juice ?,juice ?,n,<1w> nods,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
26,,,,,00:00:00,MOT,kay .,okay .,co,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
27,,,,,00:00:00,CHI,Ma no root beer .,Ma no root beer .,n_prop qn n n,<bef> nods . <dur> follows with eyes,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
28,,,,,00:00:00,MOT,root beer ?,root beer ?,n n,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
29,,,,,00:00:00,MOT,which one ?,which one ?,pro_int pro_indef,<1w> looks at Sue,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
30,,,,,00:00:00,CHI,that .,that .,comp,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
31,,,,,00:00:00,MOT,juice or root beer ?,juice or root beer ?,n coord n n,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
32,,,,,00:00:00,CHI,xxx,,,nods . looks at Mother,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
33,,,,,00:00:00,MOT,what ?,what ?,pro_int,looks at Sue,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
34,,,,,00:00:00,MOT,the what ?,the what ?,det_art pro_int,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
35,,,,,00:00:00,MOT,root beer ?,root beer ?,n n,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
36,,,,,00:00:00,CHI,no .,no .,co,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
37,,,,,00:00:00,CHI,yeah .,yeah .,co,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
38,,,,,00:00:00,MOT,root beer ya sure ?,root beer you sure ?,n n pro_per adj,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
39,,,,,00:00:00,CHI,I root beer .,I root beer .,pro_sub n n,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
40,,,,,00:00:00,MOT,which glass ya want ?,which glass you want ?,det_int n pro_per v,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
41,,,,,00:00:00,MOT,okay .,okay .,co,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
42,,,,,00:00:00,MOT,is that enough ?,be that enough ?,cop pro_dem adv,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
43,,,,,00:00:00,CHI,,,,<bef> leans on table . looks at glass,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
44,,,,,00:00:00,MOT,kay sit down nicely .,okay sit down nice .,co v adv adv,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
45,,,,,00:00:00,MOT,want anything else ?,want anything else ?,v pro_indef post,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
46,,,,,00:00:00,MOT,what ?,what ?,pro_int,<1w> looks at Sue,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
47,,,,,00:00:00,CHI,,,,looks at Mother . nods . shakes head . looks at Mother,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
48,,,,,00:00:00,MOT,okay .,okay .,co,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
49,,,,,00:00:00,MOT,is it good ?,be it good ?,aux pro_per adj,<1w> smiles,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
50,,,,,00:00:00,CHI,bubbly .,bubble .,adj,<bef> nods . <aft> looks at glass . nods,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
51,,,,,00:00:00,MOT,bubbly ?,bubble ?,adj,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
52,,,,,00:00:00,MOT,in your nose ?,in your nose ?,prep det_poss n,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
53,,,,,00:00:00,MOT,how's that ?,how be that ?,pro_int cop pro_dem,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
54,,,,,00:00:00,CHI,good .,good .,adj,<bef> looks at Mother . shakes head,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
55,,,,,00:00:00,MOT,cold ?,cold ?,n,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
56,,,,,00:00:00,CHI,no !,no !,co,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
57,,,,,00:00:00,MOT,sit down .,sit down .,v adv,points to chair,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
58,,,,,00:00:00,CHI,mm .,mm .,co,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
59,,,,,00:00:00,CHI,mm .,mm .,co,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
60,,,,,00:00:00,MOT,mm .,mm .,co,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
61,,,,,00:00:00,MOT,want any more peanuts with it ?,want any more peanut with it ?,v qn qn n prep pro_per,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
62,,,,,00:00:00,CHI,yeah .,yeah .,co,<bef> starts to shake head but nods,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
63,,,,,00:00:00,MOT,okay .,okay .,co,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
64,,,,,00:00:00,CHI,in here .,in here .,prep n,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
65,,,,,00:00:00,MOT,oh don't put the peanuts in your root beer .,oh do not put the peanut in your root beer .,co mod neg v det_art n prep det_poss n n,"looks at Sue , shakes head",formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
66,,,,,00:00:00,CHI,don' ant no .,do not want no .,mod neg v co,<bef> looks at Mother . <dur> shakes head . <aft> looks at Mother,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
67,,,,,00:00:00,MOT,don't you want ...,do not you want ...,mod neg pro_per v,<1w> shakes head .,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
68,,,,,00:00:00,MOT,okay you don't hafta have em .,okay you do not have to have them .,co pro_per mod neg mod inf v pro_obj,<1w> smiles .,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
69,,,,,00:00:00,MOT,is it good ?,be it good ?,aux pro_per adj,<1w> looks at cup,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
70,,,,,00:00:00,CHI,that cold .,that cold .,det_dem adj,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
71,,,,,00:00:00,MOT,bout done ?,about do ?,adv part,looks at Sue,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
72,,,,,00:00:00,MOT,what ?,what ?,pro_int,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
73,,,,,00:00:00,MOT,what'd you gonna do ?,what genmod you go to do ?,pro_int mod pro_per part inf v,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
74,,,,,00:00:00,CHI,,,,,formatted/Bates/Snack28/sue.json,u8 u16 u62,sue
0,,,,,00:00:00,MOT,how do you want your peanutbutter ?,how do you want your peanutbutter ?,pro_int mod pro_per v det_poss n,,formatted/Bates/Snack28/linda.json,u61 u69,linda
1,,,,,00:00:00,CHI,,,,,formatted/Bates/Snack28/linda.json,u61 u69,linda
2,,,,,00:00:00,MOT,would you like it on a piece of bread ?,will you like it on a piece of bread ?,mod pro_per v pro_per prep det_art n prep n,,formatted/Bates/Snack28/linda.json,u61 u69,linda
3,,,,,00:00:00,CHI,kay .,okay .,co,,formatted/Bates/Snack28/linda.json,u61 u69,linda
4,,,,,00:00:00,CHI,I wanna see .,I want to see .,pro_sub v inf co,,formatted/Bates/Snack28/linda.json,u61 u69,linda
5,,,,,00:00:00,MOT,you want to see ?,you want to see ?,pro_per v inf v,,formatted/Bates/Snack28/linda.json,u61 u69,linda
6,,,,,00:00:00,CHI,yeah .,yeah .,co,,formatted/Bates/Snack28/linda.json,u61 u69,linda
7,,,,,00:00:00,MOT,oh okay .,oh okay .,co co,,formatted/Bates/Snack28/linda.json,u61 u69,linda
8,,,,,00:00:00,MOT,you've come to help me .,you have come to help me .,pro_per aux v inf v pro_obj,,formatted/Bates/Snack28/linda.json,u61 u69,linda
9,,,,,00:00:00,CHI,,,,,formatted/Bates/Snack28/linda.json,u61 u69,linda
10,,,,,00:00:00,MOT,can you see ?,can you see ?,mod pro_per v,,formatted/Bates/Snack28/linda.json,u61 u69,linda
11,,,,,00:00:00,MOT,am I doing it right ?,be I do it right ?,aux pro_sub part pro_per co,,formatted/Bates/Snack28/linda.json,u61 u69,linda
12,,,,,00:00:00,MOT,like that ?,like that ?,prep pro_dem,,formatted/Bates/Snack28/linda.json,u61 u69,linda
13,,,,,00:00:00,CHI,,,,nods,formatted/Bates/Snack28/linda.json,u61 u69,linda
14,,,,,00:00:00,MOT,do you want me to fold it over ?,do you want me to fold it over ?,mod pro_per v pro_obj inf v pro_per adv,,formatted/Bates/Snack28/linda.json,u61 u69,linda
